"Transaction Date","Recipient Name","Recipient Company","Recipient Address","Recipient Country","Class","Total Cost","Package Weight","Appearances"
"4/26/2024","Moffett Library - Interlibrary Loan","Midwestern State University","3410 Taft Blvd Wichita Falls TX 76308-2096","US","Library Mail","4.62","2 lbs ","15"
"4/4/2024","Interlibrary Loan","Irving Public Library","801 W Irving Blvd Irving TX 75060-2845","US","Library Mail","3.92","1 lbs ","15"
"4/10/2024","Interlibrary Loan Dept","Chicago Public Library","""400 S State St, # 3N Chicago IL 60605-1216""","US","Library Mail","3.92","1 lbs ","15"
"4/29/2024","Interlibrary Loan","Rolling Hills Consolidated Library","1912 N Belt Hwy Saint Joseph MO 64506-2201","US","Library Mail","4.62","2 lbs ","15"
"4/4/2024","University Library - Interlibrary Loan","""California State University, Long Beach""","1250 N Bellflower Blvd Long Beach CA 90840-1901","US","Library Mail","3.92","1 lbs ","15"
"4/4/2024","JPL- Interlibrary Loan","University of Texas at San Antonio","1 Utsa Cir San Antonio TX 78249-0600","US","Library Mail","3.92","1 lbs ","14"
"4/16/2024","Interlibrary Loan","Sheridan County Fulmer Public Library","335 W Alger St Sheridan WY 82801-3898","US","Library Mail","3.92","1 lbs ","14"
"4/10/2024","Interlibrary Loan Dept","Newton Free Library","330 Homer St Newton MA 02459-1429","US","Library Mail","3.92","1 lbs ","14"
"2/21/2024","Interlibrary Loan","Waldron Island School Library","1 School Road Waldron WA 98297","US","Library Mail","4.62","2 lbs ","14"
"8/22/2024","Interlibrary Loan","Auraria Library","1100 Lawrence St Denver CO 80204-2041","US","Library Mail","5.11","2 lbs ","14"
"4/29/2024","Library - Interlibrary Loan","The University of TX Rio Grande Valley","1201 W University Dr Edinburg TX 78539-2909","US","Library Mail","3.92","1 lbs ","14"
"4/4/2024","Interlibrary Loan","Jerome Public Library","100 1st Ave E Jerome ID 83338-2302","US","Library Mail","3.92","1 lbs ","13"
"4/4/2024","Interlibrary Loan","Aurora Public Library District","101 S River St Aurora IL 60506-6005","US","Library Mail","3.92","1 lbs ","13"
"4/3/2024","Interlibrary Loan","Texarkana Public Library","600 W 3rd St Texarkana TX 75501-5054","US","Library Mail","4.62","2 lbs ","13"
"4/10/2024","ILL Services - RE Kennedy Library","California Polytechnic State University","1 Grand Ave San Luis Obispo CA 93407-0603","US","Library Mail","5.32","3 lbs ","13"
"4/5/2024","Tisch Library - Interlibrary Loan","Tufts University","35 Professors Row Medford MA 02155-5848","US","Library Mail","5.32","3 lbs ","13"
"4/10/2024","Interlibrary Loan","Downers Grove Public Library","1050 Curtiss St Downers Grove IL 60515-4606","US","Library Mail","4.62","2 lbs ","13"
"4/17/2024","Interlibrary Loan Dept","Glasgow City-County Library","408 3rd Ave S Glasgow MT 59230-2498","US","Library Mail","3.92","1 lbs ","13"
"4/4/2024","Interlibrary Loan Dept","Evansville Vanderburgh Public Library","200 SE M L King Blvd Evansville IN 47713-1802","US","Library Mail","4.62","2 lbs ","13"
"4/4/2024","Tutt Library - Interlibrary Loan","Colorado College","1021 N Cascade Ave Colorado Springs CO 80903-3252","US","Library Mail","5.32","3 lbs ","13"
